
Record#  PRONAME                        DES                     QTY      PRICE
    121  LOT CULOTTE CALECON            1292595                   1      20.56
    122  LOT CULOTTE CALECON            1292609                   1      20.56
    123  LOT CULOTTE CALECON            1292617                   1      20.56
    124  BODY COL VOLANTE               1450670                   2      84.18
    125  BODY COL VOLANTE               1450697                   4     168.36
    126  BODY COL VOLANTE               1450700                   4     176.12
    127  BODY COL VOLANTE               1450719                   4     176.12
    128  BODY ML                        1450778                   6     161.46
    129  BODY ML                        1450786                   6     161.46
    130  BODY ML                        1450794                   6     161.46
    131  BODY ML                        1450808                   6     161.46
    132  BODY ML                        1450875                   4     115.48
    133  BODY ML                        1450883                   4     115.48
    134  BODY ML                        1450891                   4     115.48
    135  BODY ML                        1450905                   4     115.48
    136  CHEMISE US                     1519050                   2      44.02
    137  CHEMISE US                     1519069                   2      44.02
    138  CHEMISE US                     1519077                   2      44.02
    139  CHEMISE US                     1519085                   2      44.02
    140  CHEMISE US                     1519158                   2      44.02
    141  CHEMISE US                     1519166                   2      44.02
    142  CHEMISE US                     1519174                   2      44.02
    143  CHEMISE US                     1519182                   2      44.02
    144  CULOTTE HUBLOT                 1519352                   4      56.76
    145  CULOTTE VOLANTEE               1519417                   2      28.38
    146  CULOTTE VOLANTEE               1519433                   2      28.38
    147  CULOTTE VOLANTEE               1519492                   2      28.38
    148  CULOTTE VOLANTEE               1519514                   4      56.76
    149  CULOTTE GARCON                 1519794                   2      31.32
    150  CULOTTE GARCON                 1519808                   2      31.32
    151  CULOTTE GARCON                 1519816                   2      31.32
    152  CULOTTE VOLANTEE               1519891                   3      46.98
    153  CULOTTE VOLANTEE               1519905                   3      46.98
    154  CULOTTE VOLANTEE               1519913                   3      46.98
    155  CULOTTE VOLANTEE               1519921                   3      46.98
    156  CULOTTE VOLANTEE               1519999                   1      15.66
    157  CULOTTE VOLANTEE               1520008                   1      15.66
    158  CULOTTE VOLANTEE               1520016                   1      15.66
    159  CULOTTE VOLANTEE               1520024                   1      15.66
    160  ENSEMBLE                       1520105                   1      37.19
    161  ROBE A MANCHES                 1527509                   2     264.18
    162  ROBE A MANCHES                 1527517                   2     264.18
    163  ROBE A MANCHES                 1527525                   2     264.18
    164  ROBE A MANCHES                 1527606                   3     308.22
    165  ROBE A MANCHES                 1527614                   3     308.22
    166  ROBE A MANCHES                 1527622                   3     308.22
    167  SALOPETTE LONGUE               1527908                   3     293.52
    168  SALOPETTE LONGUE               1527916                   2     195.68
    169  SALOPETTE LONGUE               1527916                   2     195.68
    170  SALOPETTE LONGUE               1527924                   3     293.52
    171  SALOPETTE LONGUE               1528009                   2     195.68
    172  SALOPETTE LONGUE               1528017                   2     195.68
    173  SALOPETTE LONGUE               1528025                   2     195.68
    174  SALOPETTE COURTE               1528106                   3     234.81
    175  SALOPETTE COURTE               1528114                   3     234.81
    176  SALOPETTE COURTE               1528122                   3     234.81
    177  BARBOTEUSE                     1528610                   3     366.93
    178  BARBOTEUSE                     1528629                   3     366.93
    179  CHEMISIER                      1528955                   2     127.20
    180  CHEMISIER                      1528963                   2     127.20
    181  CHEMISIER                      1528971                   2     127.20
    182  CHEMISIER                      1529056                   2     127.20
    183  CHEMISIER                      1529064                   3     190.80
    184  CHEMISIER                      1529072                   3     190.80
    185  ENSEMBLE MOLLETON              1534912                   3     352.23
    186  ENSEMBLE MOLLETON              1534920                   4     469.64
    187  ENSEMBLE MOLLETON              1534939                   4     469.64
    188  ENSEMBLE TEE SHIRT             1535099                   4     293.56
    189  ENSEMBLE TEE SHIRT             1535102                   4     293.56
    190  ENSEMBLE TEE SHIRT             1535110                   4     293.56
    191  POLO                           1535188                   6     176.16
    192  POLO                           1535196                   6     176.16
    193  POLO                           1535200                   6     176.16
    194  POLO                           1535277                   4     156.56
    195  POLO                           1535285                   4     156.56
    196  POLO                           1535293                   4     156.56
    197  CHAPEAU                        1551280                   2      58.72
    198  CHAPEAU                        1551302                   2      58.72
    199  CHAPEAU                        1551329                   2      58.72
    200  BANDEAU                        1553429                   1      24.46
    201  SALOPETTE LONGUE               1467808                   4     397.24
    202  SALOPETTE LONGUE               1467816                   4     397.24
    203  SALOPETTE LONGUE               1467824                   4     416.80
    204  BODY                           1519255                   3     104.22
    205  BODY                           1519263                   3     104.22
    206  BODY                           1519271                   3     104.22
    207  BODY                           1519280                   2      69.48
    208  DORS BIEN                      1407511                   1      44.51
    209  DORS BIEN                      1407520                   1      44.51
    210  DORS BIEN                      1407538                   4     178.04
    211  DORS BIEN                      1407546                   4     197.64
    212  DORS BIEN                      1546015                   1      44.51
    213  DORS BIEN                      1546023                   1      44.51
    214  DORS BIEN                      1546031                   4     178.04
    215  DORS BIEN                      1546040                   4     197.64
    216  BRASSIERE TRICOT               1569015                   3     205.47
    217  BRASSIERE TRICOT               1569023                   2     136.98
    218  ROBE (AVEC CULOTTE)            1546406                   1      97.84
    219  ROBE (AVEC CULOTTE)            1546414                   4     391.36
    220  ROBE (AVEC CULOTTE)            1546422                   4     391.36
    221  ROBE SANS MANCHE               1546600                   1      88.06
    222  ROBE SANS MANCHE               1546619                   3     264.18
    223  ROBE SANS MANCHE               1546627                   4     352.24
    224  SALOPETTE LONGUE               1547046                   2     215.26
    225  SALOPETTE LONGUE               1547054                   4     430.52
    226  SALOPETTE LONGUE               1547062                   4     430.52
    227  BARBOTEUSE                     1548050                   1     122.31
    228  BARBOTEUSE                     1548069                   4     489.24
    229  BARBOTEUSE                     1548077                   4     489.24
    230  CHAPEAU FILLE                  1550365                   2      68.52
    231  CHAPEAU FILLE                  1550381                   2      68.52
    232  BANDEAU                        1553143                   3      73.38
    233  SALOPETTE LONGUE               1521675                   3     176.13
    234  SALOPETTE LONGUE               1521683                   3     176.13
    235  SALOPETTE LONGUE               1521691                   3     176.13
    236  PANTALON GARCON                1522248                   4     215.24
    237  PANTALON GARCON                1522256                   4     215.24
    238  PANTALON GARCON                1522264                   4     215.24
    239  SALOPETTE LONGUE               1522612                   2     117.42
    240  SALOPETTE LONGUE               1522620                   2     117.42
    241  SALOPETTE LONGUE               1522639                   2     117.42
    242  PANTALON                       1523210                   3     146.73
    243  PANTALON                       1523228                   3     146.73
    244  PANTALON                       1523236                   3     146.73
    245  DORS BIEN JERSEY               1408712                   4     297.44
    246  DORS BIEN JERSEY               1408720                   4     317.04
    247  DORS BIEN JERSEY               1408739                   4     317.04
    248  DORS BIEN JERSEY               1408747                   4     336.64
    249  DORS BIEN JERSEY               1408801                   4     297.44
    250  DORS BIEN JERSEY               1408810                   4     317.04
    251  DORS BIEN JERSEY               1408828                   4     317.04
    252  DORS BIEN JERSEY               1408836                   4     336.64
    253  CHASUBLE A BRETELLES           1419960                   2     420.74
    254  CHASUBLE A BRETELLES           1419978                   3     631.11
    255  CHASUBLE A BRETELLES           1419986                   3     631.11
    256  LIQUETTE EN LIN                1525654                   1     171.23
    257  LIQUETTE EN LIN                1525662                   1     171.23
    258  LIQUETTE EN LIN                1525670                   1     171.23
    259  CEINTURE TUBE A POIS           1525832                   3     146.73
    260  CALECON A POIS                 1525956                   2     244.62
    261  CALECON A POIS                 1525964                   3     366.93
    262  CALECON A POIS                 1525972                   3     366.93
    263  CALECON A POIS                 1525980                   2     244.62
    264  CEINTURE ECHARPE               1526030                   2     127.20
    265  TEE SHIRT RAYE                 1526057                   1      97.84
    266  TEE SHIRT RAYE                 1526065                   1      97.84
    267  TEE SHIRT RAYE                 1526073                   1      97.84
    268  JUPE LIN                       1526235                   2     293.54
    269  JUPE LIN                       1526243                   2     293.54
    270  JUPE LIN                       1526251                   2     293.54
    271  JUPE LIN                       1526260                   2     293.54
    272  JUPE A POIS                    1526316                   2     195.68
    273  JUPE A POIS                    1526324                   3     293.52
    274  JUPE A POIS                    1526332                   2     195.68
    275  CHEMISIER VISCOSE              1526383                   2     293.54
    276  CHEMISIER VISCOSE              1526391                   2     293.54
    277  CHEMISIER VISCOSE              1526405                   2     293.54
    278  CHEMISIER LACE DOS             1526448                   2     244.62
    279  CHEMISIER LACE DOS             1526456                   2     244.62
    280  CHEMISIER LACE DOS             1526464                   2     244.62
    281  CHEMISIER VISCOSE              1526502                   2     244.62
    282  CHEMISIER VISCOSE              1526510                   3     366.93
    283  CHEMISIER VISCOSE              1526529                   2     244.62
    284  VESTE TAILLEUR LIN             1526561                   1     269.07
    285  VESTE TAILLEUR LIN             1526570                   1     269.07
    286  VESTE TAILLEUR LIN             1526588                   1     269.07
    287  ROBE DE MARIN RAYEE            1526715                   2     342.46
    288  ROBE DE MARIN RAYEE            1526723                   3     513.69
    289  ROBE DE MARIN RAYEE            1526731                   3     513.69
    290  ROBE DE MARIN RAYEE            1526740                   2     342.46
    291  PULL A TORSADES                1526782                   1     171.23
    292  PULL A TORSADES                1526790                   1     171.23
    293  PULL A TORSADES                1526804                   1     171.23
    294  GILET A TORSADES               1526847                   1     171.23
    295  GILET A TORSADES               1526855                   1     171.23
    296  GILET A TORSADES               1526863                   1     171.23
    297  CHAUSSON                       1506056                   1      70.43
    298  CHAUSSON                       1506064                   1      70.43
